testing_set_index	precision	recall	F1	MCC	AUC	fungal_FP	bacterial_FP	viral_FN	toolcombo	numtools
6	0.3949483352468427	0.688	0.5018234865061998	0.44833466058325117	0.8657	0	5573	312	0 1 0 1 1 1	4
1	0.39217877094972065	0.702	0.5032258064516129	0.4516630830834101	0.8597	173	5533	298	0 0 0 1 1 1	3
1	0.39217877094972065	0.702	0.5032258064516129	0.4516630830834101	0.8597	173	5533	298	0 1 0 1 1 1	4
3	0.4042806183115339	0.68	0.5070842654735273	0.45314189724296594	0.861	163	5628	320	0 0 0 1 1 1	3
3	0.4042806183115339	0.68	0.5070842654735273	0.45314189724296594	0.861	163	5628	320	0 1 0 1 1 1	4
7	0.36071592473611747	0.786	0.49449512425290976	0.4553674394162006	0.9095	77	5479	214	1 0 0 1 1 1	4
7	0.36071592473611747	0.786	0.49449512425290976	0.4553674394162006	0.9095	77	5479	214	1 1 0 1 1 1	5
7	0.36104731281580155	0.786	0.4948064211520302	0.45568444947128883	0.906	77	5480	214	1 0 0 0 1 1	3
7	0.36104731281580155	0.786	0.4948064211520302	0.45568444947128883	0.906	77	5480	214	1 1 0 0 1 1	4
5	0.3654750705550329	0.777	0.49712092130518226	0.4565267929809953	0.9112	91	5482	223	1 0 0 1 1 1	4
5	0.3654750705550329	0.777	0.49712092130518226	0.4565267929809953	0.9112	91	5482	223	1 1 0 1 1 1	5
5	0.365819209039548	0.777	0.49743918053777203	0.45685130650951433	0.9087	91	5484	223	1 0 0 0 1 1	3
5	0.365819209039548	0.777	0.49743918053777203	0.45685130650951433	0.9087	91	5484	223	1 1 0 0 1 1	4
1	0.36589861751152075	0.794	0.5009463722397477	0.46334266633811616	0.9178	84	5473	206	1 0 0 1 1 1	4
1	0.36589861751152075	0.794	0.5009463722397477	0.46334266633811616	0.9178	84	5473	206	1 1 0 1 1 1	5
4	0.4050632911392405	0.704	0.5142439737034332	0.46338891383164876	0.9099	86	5748	296	1 0 0 0 1 0	2
4	0.4050632911392405	0.704	0.5142439737034332	0.46338891383164876	0.9099	86	5748	296	1 1 0 0 1 0	3
4	0.40493968983342904	0.705	0.514410798978475	0.4636865009854196	0.9137	86	5746	295	1 0 0 1 1 0	3
4	0.40493968983342904	0.705	0.514410798978475	0.4636865009854196	0.9137	86	5746	295	1 1 0 1 1 0	4
1	0.36640516843562526	0.794	0.5014209030628354	0.46382396146162985	0.9135	84	5475	206	1 0 0 0 1 1	3
1	0.36640516843562526	0.794	0.5014209030628354	0.46382396146162985	0.9135	84	5475	206	1 1 0 0 1 1	4
4	0.4450704225352113	0.632	0.522314049586777	0.46520640783840433	0.8333	0	5783	368	0 0 0 1 1 0	2
4	0.4450704225352113	0.632	0.522314049586777	0.46520640783840433	0.8333	0	5783	368	0 1 0 1 1 0	3
4	0.44491228070175437	0.634	0.5228865979381444	0.4659506311340752	0.8472	0	5779	366	0 0 0 0 1 1	2
4	0.44491228070175437	0.634	0.5228865979381444	0.4659506311340752	0.8472	0	5779	366	0 1 0 0 1 1	3
3	0.3771593090211132	0.786	0.5097276264591439	0.4709261263331181	0.9128	88	5562	214	1 0 0 1 1 1	4
3	0.3771593090211132	0.786	0.5097276264591439	0.4709261263331181	0.9128	88	5562	214	1 1 0 1 1 1	5
3	0.37752161383285304	0.786	0.5100584036340039	0.47126145776948775	0.9091	88	5564	214	1 0 0 0 1 1	3
3	0.37752161383285304	0.786	0.5100584036340039	0.47126145776948775	0.9091	88	5564	214	1 1 0 0 1 1	4
6	0.3736162361623616	0.81	0.5113636363636364	0.4765586985577166	0.9168	80	5509	190	1 0 0 1 1 1	4
6	0.3736162361623616	0.81	0.5113636363636364	0.4765586985577166	0.9168	80	5509	190	1 1 0 1 1 1	5
6	0.3739612188365651	0.81	0.5116866708780795	0.47688426875283385	0.9128	80	5511	190	1 0 0 0 1 1	3
6	0.3739612188365651	0.81	0.5116866708780795	0.47688426875283385	0.9128	80	5511	190	1 1 0 0 1 1	4
4	0.45254470426409904	0.658	0.5362673186634067	0.4820527598443054	0.8601	0	5776	342	0 0 0 1 1 1	3
4	0.45254470426409904	0.658	0.5362673186634067	0.4820527598443054	0.8601	0	5776	342	0 1 0 1 1 1	4
8	0.47368421052631576	0.63	0.5407725321888411	0.48532964659656697	0.8266	162	5902	370	0 0 0 0 1 0	1
8	0.47368421052631576	0.63	0.5407725321888411	0.48532964659656697	0.8266	162	5902	370	0 1 0 0 1 0	2
4	0.41433189655172414	0.769	0.5385154061624651	0.497326889898221	0.9164	85	5723	231	1 0 0 0 1 1	3
4	0.41433189655172414	0.769	0.5385154061624651	0.497326889898221	0.9164	85	5723	231	1 1 0 0 1 1	4
4	0.41420118343195267	0.77	0.5386498775795733	0.4976151426550575	0.9203	85	5721	230	1 0 0 1 1 1	4
4	0.41420118343195267	0.77	0.5386498775795733	0.4976151426550575	0.9203	85	5721	230	1 1 0 1 1 1	5
8	0.43374925727866903	0.73	0.5441669772642564	0.4976988185104317	0.9137	73	5855	270	1 0 0 0 1 0	2
8	0.43374925727866903	0.73	0.5441669772642564	0.4976988185104317	0.9137	73	5855	270	1 1 0 0 1 0	3
8	0.4333135743924126	0.731	0.544101228135467	0.49775715330165	0.9169	73	5853	269	1 0 0 1 1 0	3
8	0.4333135743924126	0.731	0.544101228135467	0.49775715330165	0.9169	73	5853	269	1 1 0 1 1 0	4
8	0.48273328434974283	0.657	0.556543837357052	0.5039064952528557	0.8422	162	5900	343	0 0 0 1 1 0	2
8	0.48273328434974283	0.657	0.556543837357052	0.5039064952528557	0.8422	162	5900	343	0 1 0 1 1 0	3
8	0.48590021691973967	0.672	0.5639949643306756	0.5128909881482854	0.8598	161	5893	328	0 0 0 0 1 1	2
8	0.48590021691973967	0.672	0.5639949643306756	0.5128909881482854	0.8598	161	5893	328	0 1 0 0 1 1	3
8	0.4914651493598862	0.691	0.5743973399833748	0.5254032438876156	0.8706	161	5891	309	0 0 0 1 1 1	3
8	0.4914651493598862	0.691	0.5743973399833748	0.5254032438876156	0.8706	161	5891	309	0 1 0 1 1 1	4
8	0.44178272980501393	0.793	0.5674418604651162	0.5302566234924903	0.922	72	5832	207	1 0 0 0 1 1	3
8	0.44178272980501393	0.793	0.5674418604651162	0.5302566234924903	0.922	72	5832	207	1 1 0 0 1 1	4
8	0.4413563090605892	0.794	0.5673454805287602	0.5303126711302284	0.925	72	5830	206	1 0 0 1 1 1	4
8	0.4413563090605892	0.794	0.5673454805287602	0.5303126711302284	0.925	72	5830	206	1 1 0 1 1 1	5
2	0.6889204545454546	0.485	0.5692488262910799	0.5386013696168436	0.7925	0	6289	515	0 0 0 1 0 1	2
2	0.6889204545454546	0.485	0.5692488262910799	0.5386013696168436	0.7925	0	6289	515	0 1 0 1 0 1	3
10	0.6074866310160428	0.568	0.5870801033591732	0.5413971587380564	0.8883	0	6154	432	1 0 0 0 0 0	1
10	0.6074866310160428	0.568	0.5870801033591732	0.5413971587380564	0.8883	0	6154	432	1 1 0 0 0 0	2
4	0.6312785388127854	0.553	0.5895522388059702	0.5469451321988721	0.8944	0	6171	447	1 0 0 0 0 0	1
4	0.6312785388127854	0.553	0.5895522388059702	0.5469451321988721	0.8944	0	6171	447	1 1 0 0 0 0	2
10	0.5638297872340425	0.636	0.5977443609022556	0.5492385842605622	0.9017	0	6057	364	1 0 0 0 0 1	2
10	0.5638297872340425	0.636	0.5977443609022556	0.5492385842605622	0.9017	0	6057	364	1 1 0 0 0 1	3
