testing_set_index	precision	recall	F1	MCC	AUC	fungal_FP	protist_FP	bacterial_FP	viral_FN	toolcombo	numtools
6	0.8329853862212944	0.399	0.539553752535497	0.5468056315841503	0.9723	0	488	6402	601	0 0 1 0 1 1	3
5	0.687757909215956	0.5	0.5790387955993052	0.5469872803839672	0.9651	0	0	6275	500	0 0 1 1 1 0	3
3	0.6984352773826458	0.491	0.5766294773928362	0.5470122051910453	0.963	0	0	6291	509	0 0 1 1 1 0	3
2	0.7076023391812866	0.484	0.5748218527315914	0.5472364316189512	0.9632	0	429	6352	516	0 1 1 0 1 1	4
4	0.5853423336547734	0.607	0.595974472263132	0.5483258255277816	0.9024	171	404	6159	393	0 0 0 0 1 1	2
5	0.7008547008547008	0.492	0.5781433607520564	0.5487856209227282	0.9647	0	428	6347	508	0 1 1 0 1 1	4
2	0.7220543806646526	0.478	0.5752105896510229	0.5505751001686587	0.7265	0	0	6323	522	0 0 0 1 0 0	1
9	0.5948869223205506	0.605	0.5999008428358948	0.5530948787058039	0.8924	0	403	6174	395	0 0 0 0 1 1	2
1	0.7898550724637681	0.436	0.5618556701030928	0.554544182821174	0.9693	0	474	6373	564	0 0 1 0 1 1	3
8	0.5984174085064293	0.605	0.6016907011437096	0.555275900040406	0.9126	0	404	6191	395	0 0 0 0 1 1	2
7	0.7242921013412816	0.486	0.5816876122082585	0.5566204126606777	0.9666	0	0	6307	514	0 0 1 1 1 0	3
2	0.600196463654224	0.611	0.6055500495540138	0.5593780729978372	0.8964	0	407	6193	389	0 0 0 0 1 1	2
8	0.7032967032967034	0.512	0.5925925925925926	0.5619604468525813	0.9652	0	0	6286	488	0 0 1 1 1 0	3
8	0.7884615384615384	0.451	0.573791348600509	0.5639719956013869	0.9708	0	475	6380	549	0 0 1 0 1 1	3
7	0.5961904761904762	0.626	0.6107317073170732	0.5646045217246253	0.9025	168	403	6173	374	0 0 0 0 1 1	2
10	0.7480559875583204	0.481	0.5855143031040779	0.5648706986706394	0.9653	0	425	6397	519	0 1 1 1 0 1	4
2	0.674937965260546	0.544	0.6024363233665558	0.5657700020869599	0.9588	0	497	6249	456	0 1 1 1 1 0	4
5	0.7165021156558533	0.508	0.5944997074312464	0.5661913219681906	0.7407	0	0	6304	492	0 0 0 1 0 0	1
4	0.675776397515528	0.544	0.6027700831024931	0.5662537430747806	0.9583	171	499	6227	456	0 1 1 1 1 0	4
7	0.7809847198641766	0.46	0.578980490874764	0.566565875310427	0.9703	0	475	6368	540	0 0 1 0 1 1	3
9	0.7271407837445574	0.501	0.5932504440497336	0.5671718010325068	0.7419	0	0	6303	499	0 0 0 1 0 0	1
5	0.6084812623274162	0.617	0.6127110228401191	0.5675131717116008	0.8974	162	404	6204	383	0 0 0 0 1 1	2
10	0.6654719235364397	0.557	0.6064235166031573	0.5680220526314561	0.8497	0	401	6321	443	0 0 0 1 0 1	2
3	0.7316715542521994	0.499	0.5933412604042807	0.5682243665454298	0.7401	0	0	6326	501	0 0 0 1 0 0	1
5	0.7930434782608695	0.456	0.5790476190476191	0.5693275275871561	0.9718	0	475	6389	544	0 0 1 0 1 1	3
6	0.4877899877899878	0.799	0.6057619408642911	0.5697150522798026	0.9079	145	216	6027	201	1 1 0 0 0 0	2
2	0.4716231555051078	0.831	0.6017378711078928	0.5704865678106732	0.9201	152	252	5921	169	0 1 0 1 1 1	4
10	0.599437148217636	0.639	0.6185866408518876	0.5731760935490238	0.9037	0	401	6171	361	0 0 0 0 1 1	2
4	0.7496206373292867	0.494	0.595539481615431	0.5737592723752377	0.7351	0	0	6321	506	0 0 0 1 0 0	1
6	0.7436661698956781	0.499	0.5972471573907839	0.5739494258184404	0.9656	0	0	6316	501	0 0 1 1 1 0	3
9	0.6755126658624849	0.56	0.612356478950246	0.575118297734304	0.9592	0	498	6223	440	0 1 1 1 1 0	4
1	0.7488721804511278	0.498	0.5981981981981982	0.5758977925485951	0.9684	0	0	6311	502	0 0 1 1 1 0	3
10	0.7905405405405406	0.468	0.5879396984924623	0.5761182029756982	0.972	0	474	6379	532	0 0 1 0 1 1	3
3	0.48693586698337293	0.82	0.6110283159463488	0.5781840616847619	0.9125	147	206	6049	180	1 1 0 0 0 0	2
5	0.6762246117084827	0.566	0.6162221012520414	0.5789062462940309	0.9616	0	496	6237	434	0 1 1 1 1 0	4
7	0.75920245398773	0.495	0.5992736077481841	0.5789419400206396	0.7383	0	0	6339	505	0 0 0 1 0 0	1
10	0.4831199068684517	0.83	0.6107431935246506	0.5793575783450245	0.9108	153	217	6003	170	1 1 0 0 0 0	2
4	0.48839976204640095	0.821	0.6124580380455054	0.5797152091579215	0.9114	163	217	6011	179	1 1 0 0 0 0	2
