toolcombo,toolcombo2,assembly,num_viruses,prop_vir,numtools
0 0 1 0 1 0,0 0 tv 0 VS 0,South_Holland_Dla,10,0.049019607843137254,2
0 0 1 1 0 0,0 0 tv VB 0 0,South_Holland_Dla,10,0.049019607843137254,2
0 0 1 1 1 0,0 0 tv VB VS 0,South_Holland_Dla,10,0.049019607843137254,3
1 1 1 0 0 0,tnv DVF tv 0 0 0,South_Holland_Dla,10,0.049019607843137254,3
1 1 1 0 1 0,tnv DVF tv 0 VS 0,South_Holland_Dla,10,0.049019607843137254,4
1 1 1 1 0 0,tnv DVF tv VB 0 0,South_Holland_Dla,10,0.049019607843137254,4
1 1 1 1 1 0,tnv DVF tv VB VS 0,South_Holland_Dla,10,0.049019607843137254,5
1 1 0 1 0 0,tnv DVF 0 VB 0 0,Birmingham_Maria,28,0.051188299817184646,3
1 1 0 1 1 0,tnv DVF 0 VB VS 0,Birmingham_Maria,28,0.051188299817184646,4
1 0 0 1 0 1,tnv 0 0 VB 0 VS2,Amsterdam_Wee,27,0.05202312138728324,3
1 0 0 1 1 1,tnv 0 0 VB VS VS2,Amsterdam_Wee,27,0.05202312138728324,4
0 1 0 0 0 0,0 DVF 0 0 0 0,Spannenburg,196,0.052099946836788945,1
0 1 0 0 1 0,0 DVF 0 0 VS 0,Spannenburg,196,0.052099946836788945,2
0 1 0 0 0 0,0 DVF 0 0 0 0,South_Holland_Dla,11,0.05392156862745098,1
0 1 0 0 1 0,0 DVF 0 0 VS 0,South_Holland_Dla,11,0.05392156862745098,2
0 1 0 1 0 0,0 DVF 0 VB 0 0,South_Holland_Dla,11,0.05392156862745098,2
0 1 0 1 1 0,0 DVF 0 VB VS 0,South_Holland_Dla,11,0.05392156862745098,3
0 1 0 1 0 0,0 DVF 0 VB 0 0,Spannenburg,205,0.0544922913343966,2
0 1 0 1 1 0,0 DVF 0 VB VS 0,Spannenburg,205,0.0544922913343966,3
1 1 0 1 0 0,tnv DVF 0 VB 0 0,Dundee_Clat,66,0.055230125523012555,3
1 1 0 1 1 0,tnv DVF 0 VB VS 0,Dundee_Clat,66,0.055230125523012555,4
1 1 1 1 0 0,tnv DVF tv VB 0 0,Amsterdam_Wee,29,0.055876685934489405,4
1 1 1 1 1 0,tnv DVF tv VB VS 0,Amsterdam_Wee,29,0.055876685934489405,5
0 0 0 1 0 0,0 0 0 VB 0 0,Exeter_Maria,9,0.055900621118012424,1
0 0 0 1 1 0,0 0 0 VB VS 0,Exeter_Maria,9,0.055900621118012424,2
1 0 0 1 0 0,tnv 0 0 VB 0 0,Exeter_Maria,9,0.055900621118012424,2
1 0 0 1 1 0,tnv 0 0 VB VS 0,Exeter_Maria,9,0.055900621118012424,3
0 1 0 1 0 0,0 DVF 0 VB 0 0,Birmingham_Maria,31,0.056672760511883,2
0 1 0 1 1 0,0 DVF 0 VB VS 0,Birmingham_Maria,31,0.056672760511883,3
1 1 0 1 0 0,tnv DVF 0 VB 0 0,Glasgow_Mil,11,0.05670103092783505,3
1 1 0 1 1 0,tnv DVF 0 VB VS 0,Glasgow_Mil,11,0.05670103092783505,4
0 1 0 0 0 0,0 DVF 0 0 0 0,Cardiff_Maria,35,0.057096247960848286,1
0 1 0 0 1 0,0 DVF 0 0 VS 0,Cardiff_Maria,35,0.057096247960848286,2
0 1 0 0 0 0,0 DVF 0 0 0 0,Dundee_Maria,14,0.059574468085106386,1
0 1 0 0 1 0,0 DVF 0 0 VS 0,Dundee_Maria,14,0.059574468085106386,2
1 0 1 0 0 0,tnv 0 tv 0 0 0,Amsterdam_Leid,53,0.06141367323290846,2
1 0 1 0 1 0,tnv 0 tv 0 VS 0,Amsterdam_Leid,53,0.06141367323290846,3
0 1 0 0 0 0,0 DVF 0 0 0 0,Dundee_Clat,75,0.06276150627615062,1
0 1 0 0 1 0,0 DVF 0 0 VS 0,Dundee_Clat,75,0.06276150627615062,2
1 1 0 0 0 1,tnv DVF 0 0 0 VS2,South_Holland_Dla,13,0.06372549019607843,3
1 1 0 0 1 1,tnv DVF 0 0 VS VS2,South_Holland_Dla,13,0.06372549019607843,4
1 1 0 1 0 1,tnv DVF 0 VB 0 VS2,South_Holland_Dla,13,0.06372549019607843,4
1 1 0 1 1 1,tnv DVF 0 VB VS VS2,South_Holland_Dla,13,0.06372549019607843,5
1 0 1 1 0 0,tnv 0 tv VB 0 0,Amsterdam_Leid,56,0.06488991888760139,3
1 0 1 1 1 0,tnv 0 tv VB VS 0,Amsterdam_Leid,56,0.06488991888760139,4
1 1 0 0 0 1,tnv DVF 0 0 0 VS2,Amsterdam_Wee,34,0.06551059730250482,3
1 1 0 0 1 1,tnv DVF 0 0 VS VS2,Amsterdam_Wee,34,0.06551059730250482,4
0 1 0 1 0 0,0 DVF 0 VB 0 0,Glasgow_Mil,13,0.06701030927835051,2
0 1 0 1 1 0,0 DVF 0 VB VS 0,Glasgow_Mil,13,0.06701030927835051,3
0 1 0 0 0 0,0 DVF 0 0 0 0,Nieuwkoop_DHB,50,0.06711409395973154,1
0 1 0 0 1 0,0 DVF 0 0 VS 0,Nieuwkoop_DHB,50,0.06711409395973154,2
1 0 0 0 0 1,tnv 0 0 0 0 VS2,Spannenburg,254,0.06751727804359384,2
1 0 0 0 1 1,tnv 0 0 0 VS VS2,Spannenburg,254,0.06751727804359384,3
1 0 0 0 0 1,tnv 0 0 0 0 VS2,Nieuwkoop_DHB,51,0.06845637583892618,2
