"","toolcombo","toolcombo2","assembly","num_viruses","prop_vir","numtools","environment"
"4211","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Su13VDMM110SNSu13VDMM110SNFD",8600,0.816946898451601,4,"Lake_Michigan"
"4212","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Su13VDMM110SNSu13VDMM110SNFD",8600,0.816946898451601,5,"Lake_Michigan"
"4213","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Su13VDMM110SNSu13VDMM110SNFD",8608,0.817706849054811,5,"Lake_Michigan"
"4214","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Su13VDMM110SNSu13VDMM110SNFD",8608,0.817706849054811,6,"Lake_Michigan"
"4215","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Su13VDMM15DNSu13VDMM15DNFD",14564,0.819445225904462,4,"Lake_Michigan"
"4216","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Su13VDMM15DNSu13VDMM15DNFD",14564,0.819445225904462,5,"Lake_Michigan"
"4217","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Su13VDMM15DNSu13VDMM15DNFD",14575,0.820064142238227,5,"Lake_Michigan"
"4218","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Su13VDMM15DNSu13VDMM15DNFD",14575,0.820064142238227,6,"Lake_Michigan"
"4219","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Su13VDMLBSDSu13VDMLBSDFD",8603,0.825465361734792,4,"Lake_Michigan"
"4220","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Su13VDMLBSDSu13VDMLBSDFD",8603,0.825465361734792,5,"Lake_Michigan"
"4221","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Su13VDMLBSDSu13VDMLBSDFD",8616,0.82671272308578,5,"Lake_Michigan"
"4222","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Su13VDMLBSDSu13VDMLBSDFD",8616,0.82671272308578,6,"Lake_Michigan"
"4223","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Fa13VDMM110SDFa13VDMM110SDFD",13526,0.827531355154482,4,"Lake_Michigan"
"4224","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Fa13VDMM110SDFa13VDMM110SDFD",13526,0.827531355154482,5,"Lake_Michigan"
"4225","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Fa13VDMM110SNFa13VDMM110SNFD",11709,0.828134945894335,4,"Lake_Michigan"
"4226","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Fa13VDMM110SNFa13VDMM110SNFD",11709,0.828134945894335,5,"Lake_Michigan"
"4227","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Fa13VDMM110SDFa13VDMM110SDFD",13536,0.828143163046803,5,"Lake_Michigan"
"4228","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Fa13VDMM110SDFa13VDMM110SDFD",13536,0.828143163046803,6,"Lake_Michigan"
"4229","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Fa13VDMM15SDFa13VDMM15SDFD",24902,0.828382289344998,4,"Lake_Michigan"
"4230","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Fa13VDMM15SDFa13VDMM15SDFD",24902,0.828382289344998,5,"Lake_Michigan"
"4231","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Fa13VDMM15SDFa13VDMM15SDFD",24915,0.828814743355178,5,"Lake_Michigan"
"4232","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Fa13VDMM15SDFa13VDMM15SDFD",24915,0.828814743355178,6,"Lake_Michigan"
"4233","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Su13VDMLBDDSu13VDMLBDDFD",8556,0.828828828828829,4,"Lake_Michigan"
"4234","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Su13VDMLBDDSu13VDMLBDDFD",8556,0.828828828828829,5,"Lake_Michigan"
"4235","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Fa13VDMM110SNFa13VDMM110SNFD",11720,0.828912935851192,5,"Lake_Michigan"
"4236","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Fa13VDMM110SNFa13VDMM110SNFD",11720,0.828912935851192,6,"Lake_Michigan"
"4237","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Su13VDMLBDDSu13VDMLBDDFD",8558,0.829022570958055,5,"Lake_Michigan"
"4238","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Su13VDMLBDDSu13VDMLBDDFD",8558,0.829022570958055,6,"Lake_Michigan"
"4239","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Fa13VDMM15DNFa13VDMM15DNFD",15831,0.830849165529548,4,"Lake_Michigan"
"4240","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Fa13VDMM15DNFa13VDMM15DNFD",15831,0.830849165529548,5,"Lake_Michigan"
